Compound CID,BioAssay AID,Substance SID,Activity,Protein GI (NCBI),NCBI Gene ID,Activity value (µM),Activity type,BioAssay Name,BioAssay Type,PMID,pIC50 (M)
31703,379528,123097261,Active,,,0.43,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,17125240.0,6.366531544420414
31703,380281,123097261,Active,,,0.07,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,17190470.0,7.154901959985743
31703,401702,123097261,Active,,,0.07,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,15921417.0,7.154901959985743
31703,401967,123097261,Active,,,0.17,IC50,Cytotoxicity against doxorubicin-sensitive human MCF7 cells,Confirmatory,15921419.0,6.769551078621726
31703,401968,123097261,Unspecified,,,50.0,IC50,Cytotoxicity against doxorubicin-resistant human MCF7 cells,Confirmatory,15921419.0,4.301029995663981
31703,402293,123097261,Active,,,0.1,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,15974615.0,7.0
31703,406726,123097261,Active,,,0.13,IC50,Cytotoxicity against human MCF7 cells after 96 hrs by MTT assay,Confirmatory,18513976.0,6.886056647693163
31703,407925,123097261,Active,,,0.9,IC50,Cytotoxicity against human MCF7 cells after 3 days by MTT assay,Confirmatory,18419154.0,6.045757490560675
31703,408253,123097261,Active,,,0.022,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by SRB method,Confirmatory,18429610.0,7.657577319177793
31703,408259,123097261,Active,,,5.3,IC50,Cytotoxicity against human doxorubicin-resistant MCF7/Dx cells after 24 hrs by SRB method,Confirmatory,18429610.0,5.275724130399211
31703,408913,123097261,Active,,,0.05,IC50,Antiproliferative activity against human MCF7 cells after 96 hrs by MTT assay,Confirmatory,19053767.0,7.301029995663981
31703,419585,123097261,Active,,,0.31,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,18692939.0,6.508638306165727
31703,422291,123097261,Active,,,0.12,IC50,Cytotoxicity against human MCF7 cells by SRB assay,Confirmatory,19341288.0,6.920818753952375
31703,426990,123097261,Active,,,2.8,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,19583252.0,5.552841968657781
31703,428309,123097261,Active,,,0.53,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,19523827.0,6.275724130399211
31703,430793,123097261,Active,,,0.012,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTS assay,Confirmatory,19655762.0,7.920818753952375
31703,430794,123097261,Active,,,0.058,IC50,Cytotoxicity against human MCF7 cells expressing P-glycoprotein after 72 hrs by MTS assay,Confirmatory,19655762.0,7.236572006437063
31703,455466,123097261,Active,,,1.03,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,19819703.0,5.987162775294828
31703,471377,123097261,Active,,,0.92,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,19795842.0,6.036212172654444
31703,471996,123097261,Active,,,1.5,IC50,Cytotoxicity against human MCF7 cells by resazurin microplate assay,Confirmatory,19739600.0,5.823908740944319
31703,476948,123097261,Active,,,2.62,IC50,Cytotoxicity against human MCF7 after 24 hrs by MTT assay,Confirmatory,20056520.0,5.581698708680254
31703,486960,123097261,Active,,,0.04,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,20207049.0,7.3979400086720375
31703,487724,123097261,Active,,,0.7,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,20334960.0,6.154901959985743
31703,490034,123097261,Active,,,0.41,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by [3H]hypoxanthine incorporation assay,Confirmatory,20362359.0,6.3872161432802645
31703,492191,123097261,Active,,,0.324,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by XTT assay,Confirmatory,20538470.0,6.489454989793388
31703,502402,123097261,Active,,,0.59,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,20718475.0,6.229147988357856
31703,504301,123097261,Active,,,2.18,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,20815366.0,5.661543506395395
31703,511773,123097261,Unspecified,,,71.8,IC50,Anticancer activity against human MCF7 cells assessed as survival fraction after 48 hrs by SRB assay,Confirmatory,20684857.0,4.1438755557577
31703,526256,123097261,Active,,,0.75,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,20846862.0,6.1249387366083
31703,526334,123097261,Active,,,3.22,IC50,Cytotoxicity against human MCF7 cells assessed as inhibition of cell proliferation after 24 hrs by SRB assay,Confirmatory,20850308.0,5.492144128304169
31703,527186,123097261,Active,,,2.57,IC50,Cytotoxicity against human MCF7 cells after 48 hrs,Confirmatory,20873721.0,5.590066876668706
31703,536662,123097261,Active,,,2.4,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,20832916.0,5.619788758288394
31703,537057,123097261,Active,,,0.85,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by Alamar blue assay,Confirmatory,20931970.0,6.070581074285707
31703,539837,123097261,Active,,,0.61,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,21071221.0,6.214670164989233
31703,550994,123097261,Unspecified,,,16.8,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTS assay,Confirmatory,21094049.0,4.774690718274138
31703,552710,123097261,Active,,,1.69,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,21115246.0,5.772113295386326
31703,566728,123097261,Active,,,0.54,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,21087017.0,6.267606240177032
31703,566778,123097261,Active,,,2.3,IC50,Cytotoxicity against human MCF7 cells by resazurin microplate assay,Confirmatory,21090800.0,5.638272163982407
31703,566898,123097261,Unspecified,,,32.02,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by SRB assay,Confirmatory,21093116.0,4.494578672416719
31703,568514,123097261,Active,,,0.5,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,21215623.0,6.301029995663981
31703,578764,123097261,Active,,,0.1,IC50,Cytotoxicity against human MCF7 cells assessed as intracellular ATP level after 72 hrs by luminometry,Confirmatory,21354800.0,7.0
31703,590358,123097261,Active,,,0.0179,IC50,Antiproliferative activity against human MCF7 cells after 96 hrs by MTT assay,Confirmatory,21296467.0,7.747146969020107
31703,590857,123097261,Unspecified,,,66.2,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,21429743.0,4.1791420105603
31703,599189,123097261,Active,,,1.2,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,21425785.0,5.920818753952375
31703,599535,123097261,Active,,,0.7,IC50,Antiproliferative activity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,19632833.0,6.154901959985743
31703,600930,123097261,Active,,,0.19,IC50,Antiproliferative activity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,21496972.0,6.721246399047171
31703,610077,123097261,Unspecified,,,42.52,IC50,Cytotoxicity against human MCF7 cells after 3 days by MTT assay,Confirmatory,21741833.0,4.371406744148741
31703,616511,123097261,Unspecified,,,43.44,IC50,Cytotoxicity against adriyamycin-resistant human MCF7 cells over expressing P-glycoprotein after 72 hrs by SRB assay,Confirmatory,21761866.0,4.362110183419209
31703,616513,123097261,Active,,,0.25,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by SRB assay,Confirmatory,21761866.0,6.6020599913279625
31703,617325,123097261,Active,,,0.85,IC50,Cytotoxicity against human MCF7 cells assessed as cell viability after 48 hrs by alamar blue assay,Confirmatory,21797280.0,6.070581074285707
31703,620405,123097261,Unspecified,,,71.8,IC50,Anticancer activity against human MCF7 cells assessed as viable cells after 48 hrs by SRB assay,Confirmatory,21890248.0,4.1438755557577
31703,622542,123097261,Active,,,8.94,IC50,Cytotoxicity against estrogen receptor-positive human MCF7 cells after 24 hrs by MTT assay,Confirmatory,21885273.0,5.048662481204082
31703,622543,123097261,Active,,,1.51,IC50,Cytotoxicity against estrogen receptor-positive human MCF7 cells after 48 hrs by MTT assay,Confirmatory,21885273.0,5.82102305270683
31703,623658,123097261,Active,,,0.4,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by Alamar blue assay,Confirmatory,21999655.0,6.3979400086720375
31703,626596,123097261,Active,,,1.0,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,21996519.0,6.0
31703,628253,123097261,Active,,,0.77,IC50,Cytotoxicity against human MCF7 cells after 3 days by MTT assay,Confirmatory,21800859.0,6.113509274827519
31703,629702,123097261,Active,,,4.5,IC50,Cytotoxicity against human MCF7 cells assessed as growth inhibition after 48 hrs by SRB assay,Confirmatory,22000946.0,5.346787486224656
31703,629703,123097261,Active,,,2.9,IC50,Cytotoxicity against human MCF7 cells assessed as growth inhibition after 72 hrs by SRB assay,Confirmatory,22000946.0,5.537602002101044
31703,634096,123097261,Active,,,2.02,IC50,Anticancer activity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22136907.0,5.694648630553377
31703,634931,123097261,Active,,,5.46,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,22119131.0,5.262807357295263
31703,634994,123097261,Active,,,5.46,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,22119132.0,5.262807357295263
31703,638321,123097261,Unspecified,,,11.67,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,22123320.0,4.93292914395463
31703,640401,123097261,Active,,,1.7,IC50,Cytotoxicity against human MCF7 cells by WST-1 assay,Confirmatory,22197145.0,5.769551078621726
31703,640402,123097261,Active,,,1.1,IC50,Cytotoxicity against human tamoxifen-resistant MCF7 cells by WST-1 assay,Confirmatory,22197145.0,5.958607314841775
31703,641786,123097261,Active,,,2.29,IC50,Cytotoxicity against human MCF7 cells by SRB assay,Confirmatory,22004007.0,5.640164517660112
31703,644324,123097261,Unspecified,,,17.9,IC50,Cytotoxicity against human MCF7 cells after 3 days by resazurin microplate assay,Confirmatory,22280818.0,4.747146969020107
31703,644783,123097261,Active,,,3.69,IC50,Cytotoxicity against human MCF7 cells after 2 days,Confirmatory,22318164.0,5.432973633840939
31703,654513,123097261,Active,,,2.5,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by alamar blue assay,Confirmatory,22272829.0,5.6020599913279625
31703,654562,123097261,Active,,,7.0,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,22283451.0,5.154901959985743
31703,654657,123097261,Active,,,8.09,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by SRB assay,Confirmatory,22444025.0,5.092051478387727
31703,654900,123097261,Active,,,6.9,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22304344.0,5.161150909262744
31703,656195,123097261,Active,,,0.06,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22414612.0,7.221848749616356
31703,657868,123097261,Active,,,1.54,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by CellTiter-Glo assay,Confirmatory,22316168.0,5.812479279163537
31703,659840,123097261,Active,,,0.42,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by Alamar blue assay,Confirmatory,22264149.0,6.376750709602099
31703,660313,123097261,Unspecified,,,20.0,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by XTT assay,Confirmatory,24900344.0,4.698970004336019
31703,663982,123097261,Active,,,0.54,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22537362.0,6.267606240177032
31703,664313,123097261,Active,,,9.0,IC50,Cytotoxicity against human MCF7 cells after 3 days by MTT assay,Confirmatory,22520152.0,5.045757490560675
31703,664538,123097261,Unspecified,,,16.8,IC50,Cytotoxicity against human MCF7 cells by resazurin reduction assay,Confirmatory,22482432.0,4.774690718274138
31703,665011,123097261,Active,,,0.06,IC50,Antiproliferative activity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,22555152.0,7.221848749616356
31703,665529,123097261,Unspecified,,,32.0,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,22583778.0,4.494850021680094
31703,665672,123097261,Active,,,2.82,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,22542958.0,5.549750891680639
31703,666806,123097261,Unspecified,,,17.67,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22647723.0,4.7527634504932355
31703,667391,123097261,Active,,,0.31,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,22677031.0,6.508638306165727
31703,667427,123097261,Active,,,0.75,IC50,Cytotoxicity against ER-positive human MCF7 cells after 1 hr by SRB assay,Confirmatory,22770744.0,6.1249387366083
31703,674245,123097261,Active,,,1.37,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,22687747.0,5.863279432843593
31703,674694,123097261,Active,,,8.62,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22818039.0,5.064492734175287
31703,682338,123097261,Active,,,0.0054,IC50,Cytotoxicity against human MCF7 cells assessed as inhibition of cell viability after 48 hrs by SRB assay,Confirmatory,23085106.0,8.267606240177031
31703,718399,123097261,Active,,,0.629,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,23123017.0,6.201349354554731
31703,719342,123097261,Active,,,1.0,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,23079527.0,6.0
31703,731885,123097261,Unspecified,,,60.0,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by XTT assay,Confirmatory,24900668.0,4.221848749616356
31703,739907,123097261,Active,,,1.65,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,23434227.0,5.782516055786094
31703,742340,123097261,Active,,,0.01165,IC50,SANGER: Inhibition of human MCF7 cell growth in a cell viability assay.,Confirmatory,,7.933674074637962
31703,744294,123097261,Active,,,0.5,IC50,Antiproliferative activity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,23501113.0,6.301029995663981
31703,745484,123097261,Active,,,0.24,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by resazurin/resorufin-based fluorescence assay,Confirmatory,23600925.0,6.619788758288394
31703,751270,123097261,Active,,,0.94,IC50,Cytotoxicity against human MCF7 cells assessed as growth inhibition after 48 hrs by MTT assay,Confirmatory,23806110.0,6.026872146400302
31703,756953,123097261,Active,,,0.02,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,23802716.0,7.698970004336019
31703,757701,123097261,Active,,,5.46,IC50,Cytotoxicity against human MCF7 cells assessed as cell survival after 48 hrs by SRB assay,Confirmatory,23708013.0,5.262807357295263
31703,758820,123097261,Active,,,1.05,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,23764302.0,5.978810700930062
31703,761445,123097261,Active,,,0.065,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by CCK8 assay,Confirmatory,23777898.0,7.187086643357144
31703,761647,123097261,Unspecified,,,15.88,IC50,Cytotoxicity against human MCF7 cells by colorimetric method,Confirmatory,23795891.0,4.799149501908922
31703,761776,123097261,Active,,,7.66,IC50,Cytotoxicity against human MCF7 cells by SRB assay,Confirmatory,23806014.0,5.115771230367396
31703,766660,123097261,Active,,,1.05,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,23911578.0,5.978810700930062
31703,767338,123097261,Unspecified,,,13.51,IC50,Cytotoxicity against human MCF7 cells after 2 days by MTT assay,Confirmatory,23932340.0,4.869344650977969
31703,771668,123097261,Active,,,0.7,IC50,Cytotoxicity against human MCF7 cells assessed as growth inhibition after 72 hrs by MTT assay,Confirmatory,24044895.0,6.154901959985743
31703,771697,123097261,Active,,,0.04,IC50,Cytotoxicity against human MCF7 cells assessed as growth inhibition after 48 hrs by sulforhodamine B assay,Confirmatory,,7.3979400086720375
31703,771923,123097261,Active,,,0.19,IC50,Cytotoxicity against human MCF7 cells after 44 hrs by SRB assay,Confirmatory,,6.721246399047171
31703,771966,123097261,Active,,,2.44,IC50,Cytotoxicity against human MCF7 cells after 96 hrs by MTT assay,Confirmatory,,5.61261017366127
31703,773725,123097261,Active,,,1.2,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,24028446.0,5.920818753952375
31703,774917,123097261,Active,,,0.0032,IC50,Inhibition of TRK in human MCF7 cells after 48 hrs by ELISA,Confirmatory,24013411.0,8.494850021680094
31703,776709,123097261,Active,,,1.05,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,24113366.0,5.978810700930062
31703,779090,123097261,Active,,,0.5,IC50,Antiproliferative activity against human MCF7 cells assessed as cell viability after 72 hrs by MTT assay,Confirmatory,24012378.0,6.301029995663981
31703,1055977,123097261,Active,,,1.172,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by SRB assay,Confirmatory,24231309.0,5.931072388317928
31703,1056616,123097261,Active,,,0.35,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by Alamar Blue assay,Confirmatory,24251417.0,6.455931955649724
31703,1057277,123097261,Active,,,0.75,IC50,Cytotoxicity against ER-positive human MCF7 cells assessed as growth inhibition after 48 hrs by MTT assay,Confirmatory,24148837.0,6.1249387366083
31703,1060752,123097261,Active,,,1.07,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,24287557.0,5.97061622231479
31703,1067066,123097261,Unspecified,,,10.9,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,24487188.0,4.962573502059376
31703,1067374,123097261,Active,,,0.13,IC50,Cytotoxicity against human MCF7 cells assessed as cell viability after 72 hrs by MTT assay,Confirmatory,24530030.0,6.886056647693163
31703,1067616,123097261,Active,,,0.2,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,23827179.0,6.698970004336019
