Compound CID,BioAssay AID,Substance SID,Activity,Protein GI (NCBI),NCBI Gene ID,Activity value (µM),Activity type,BioAssay Name,BioAssay Type,PMID
31703,281409,123097261,Active,,,0.022,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,17375902.0
31703,281417,123097261,Active,,,5.3,IC50,Cytotoxicity against doxorubicin-resistant human MCF7 cells,Confirmatory,17375902.0
31703,282019,123097261,Active,Q15125,10682.0,0.2,IC50,Growth inhibition of MCF7 cells expressing ER and antiestrogen binding sites,Confirmatory,15588086.0
31703,282019,123097261,Active,Q9UBM7,1717.0,0.2,IC50,Growth inhibition of MCF7 cells expressing ER and antiestrogen binding sites,Confirmatory,15588086.0
31703,289261,123097261,Active,,,0.0071,IC50,Inhibition of serum-induced proliferation of human MCF7 cells,Confirmatory,17601739.0
31703,289262,123097261,Unspecified,,,17.0,IC50,Inhibition of serum-induced proliferation of human adriamycin-resistant MCF7 cells,Confirmatory,17601739.0
31703,296684,123097261,Active,,,0.74,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT colorimetric method,Confirmatory,17622129.0
31703,298736,123097261,Active,,,4.5,IC50,Cytotoxicity against human MCF7 cells after 4 days by MTT assay,Confirmatory,17194586.0
31703,301516,123097261,Active,,,0.5,IC50,Cytotoxicity against human MCF7 cells by sulforhodamine B assay,Confirmatory,17822905.0
31703,302869,123097261,Active,,,0.04,IC50,Antitumor activity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,17935309.0
31703,312048,123097261,Active,,,0.07,IC50,Antiproliferative activity against human MCF7 cells by MTT assay,Confirmatory,18052326.0
31703,322365,123097261,Unspecified,,,47.8,IC50,Antiproliferative activity against adriamycin resistant human MCF7 cells after 72 hrs by MTT assay,Confirmatory,17964170.0
31703,322366,123097261,Active,,,0.3,IC50,Antiproliferative activity against wild type human MCF7 cells after 72 hrs by MTT assay,Confirmatory,17964170.0
31703,322404,123097261,Active,,,0.06,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,18164206.0
31703,329216,123097261,Active,,,0.07,IC50,Antiproliferative activity against human MCF7 cells by MTT assay,Confirmatory,18247573.0
31703,333689,123097261,Active,,,0.07,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,15620238.0
31703,343508,123097261,Active,,,0.65,IC50,Cytotoxicity against human MCF7 cells after 3 days by MTT assay,Confirmatory,18547115.0
31703,348354,123097261,Active,,,0.018,IC50,Antiproliferative activity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,17949859.0
31703,348355,123097261,Active,,,0.0007,IC50,Antiproliferative activity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,17949859.0
31703,351579,123097261,Active,,,0.5,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,19394829.0
31703,352210,123097261,Active,,,8.3,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,19329312.0
31703,353192,123097261,Active,,,0.049,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,19285863.0
31703,354427,123097261,Active,,,0.14,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,12608854.0
31703,366086,123097261,Active,,,0.5,IC50,Cytotoxicity against human MCF7 cells by SRB assay,Confirmatory,18656370.0
31703,379528,123097261,Active,,,0.43,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,17125240.0
31703,380281,123097261,Active,,,0.07,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,17190470.0
31703,401702,123097261,Active,,,0.07,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,15921417.0
31703,401967,123097261,Active,,,0.17,IC50,Cytotoxicity against doxorubicin-sensitive human MCF7 cells,Confirmatory,15921419.0
31703,401968,123097261,Unspecified,,,50.0,IC50,Cytotoxicity against doxorubicin-resistant human MCF7 cells,Confirmatory,15921419.0
31703,402293,123097261,Active,,,0.1,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,15974615.0
31703,406726,123097261,Active,,,0.13,IC50,Cytotoxicity against human MCF7 cells after 96 hrs by MTT assay,Confirmatory,18513976.0
31703,407925,123097261,Active,,,0.9,IC50,Cytotoxicity against human MCF7 cells after 3 days by MTT assay,Confirmatory,18419154.0
31703,408253,123097261,Active,,,0.022,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by SRB method,Confirmatory,18429610.0
31703,408259,123097261,Active,,,5.3,IC50,Cytotoxicity against human doxorubicin-resistant MCF7/Dx cells after 24 hrs by SRB method,Confirmatory,18429610.0
31703,408913,123097261,Active,,,0.05,IC50,Antiproliferative activity against human MCF7 cells after 96 hrs by MTT assay,Confirmatory,19053767.0
31703,419585,123097261,Active,,,0.31,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,18692939.0
31703,422291,123097261,Active,,,0.12,IC50,Cytotoxicity against human MCF7 cells by SRB assay,Confirmatory,19341288.0
31703,426990,123097261,Active,,,2.8,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,19583252.0
31703,428309,123097261,Active,,,0.53,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,19523827.0
31703,430793,123097261,Active,,,0.012,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTS assay,Confirmatory,19655762.0
31703,430794,123097261,Active,,,0.058,IC50,Cytotoxicity against human MCF7 cells expressing P-glycoprotein after 72 hrs by MTS assay,Confirmatory,19655762.0
31703,455466,123097261,Active,,,1.03,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,19819703.0
31703,471377,123097261,Active,,,0.92,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,19795842.0
31703,471996,123097261,Active,,,1.5,IC50,Cytotoxicity against human MCF7 cells by resazurin microplate assay,Confirmatory,19739600.0
31703,476948,123097261,Active,,,2.62,IC50,Cytotoxicity against human MCF7 after 24 hrs by MTT assay,Confirmatory,20056520.0
31703,486960,123097261,Active,,,0.04,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,20207049.0
31703,487724,123097261,Active,,,0.7,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,20334960.0
31703,490034,123097261,Active,,,0.41,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by [3H]hypoxanthine incorporation assay,Confirmatory,20362359.0
31703,492191,123097261,Active,,,0.324,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by XTT assay,Confirmatory,20538470.0
31703,502402,123097261,Active,,,0.59,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,20718475.0
31703,504301,123097261,Active,,,2.18,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,20815366.0
31703,511773,123097261,Unspecified,,,71.8,IC50,Anticancer activity against human MCF7 cells assessed as survival fraction after 48 hrs by SRB assay,Confirmatory,20684857.0
31703,526256,123097261,Active,,,0.75,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,20846862.0
31703,526334,123097261,Active,,,3.22,IC50,Cytotoxicity against human MCF7 cells assessed as inhibition of cell proliferation after 24 hrs by SRB assay,Confirmatory,20850308.0
31703,527186,123097261,Active,,,2.57,IC50,Cytotoxicity against human MCF7 cells after 48 hrs,Confirmatory,20873721.0
31703,536662,123097261,Active,,,2.4,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,20832916.0
31703,537057,123097261,Active,,,0.85,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by Alamar blue assay,Confirmatory,20931970.0
31703,539837,123097261,Active,,,0.61,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,21071221.0
31703,550994,123097261,Unspecified,,,16.8,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTS assay,Confirmatory,21094049.0
31703,552710,123097261,Active,,,1.69,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,21115246.0
31703,566728,123097261,Active,,,0.54,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,21087017.0
31703,566778,123097261,Active,,,2.3,IC50,Cytotoxicity against human MCF7 cells by resazurin microplate assay,Confirmatory,21090800.0
31703,566898,123097261,Unspecified,,,32.02,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by SRB assay,Confirmatory,21093116.0
31703,568514,123097261,Active,,,0.5,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,21215623.0
31703,578764,123097261,Active,,,0.1,IC50,Cytotoxicity against human MCF7 cells assessed as intracellular ATP level after 72 hrs by luminometry,Confirmatory,21354800.0
31703,590358,123097261,Active,,,0.0179,IC50,Antiproliferative activity against human MCF7 cells after 96 hrs by MTT assay,Confirmatory,21296467.0
31703,590857,123097261,Unspecified,,,66.2,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,21429743.0
31703,599189,123097261,Active,,,1.2,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,21425785.0
31703,599535,123097261,Active,,,0.7,IC50,Antiproliferative activity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,19632833.0
31703,600930,123097261,Active,,,0.19,IC50,Antiproliferative activity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,21496972.0
31703,610077,123097261,Unspecified,,,42.52,IC50,Cytotoxicity against human MCF7 cells after 3 days by MTT assay,Confirmatory,21741833.0
31703,616511,123097261,Unspecified,,,43.44,IC50,Cytotoxicity against adriyamycin-resistant human MCF7 cells over expressing P-glycoprotein after 72 hrs by SRB assay,Confirmatory,21761866.0
31703,616513,123097261,Active,,,0.25,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by SRB assay,Confirmatory,21761866.0
31703,617325,123097261,Active,,,0.85,IC50,Cytotoxicity against human MCF7 cells assessed as cell viability after 48 hrs by alamar blue assay,Confirmatory,21797280.0
31703,620405,123097261,Unspecified,,,71.8,IC50,Anticancer activity against human MCF7 cells assessed as viable cells after 48 hrs by SRB assay,Confirmatory,21890248.0
31703,622542,123097261,Active,,,8.94,IC50,Cytotoxicity against estrogen receptor-positive human MCF7 cells after 24 hrs by MTT assay,Confirmatory,21885273.0
31703,622543,123097261,Active,,,1.51,IC50,Cytotoxicity against estrogen receptor-positive human MCF7 cells after 48 hrs by MTT assay,Confirmatory,21885273.0
31703,623658,123097261,Active,,,0.4,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by Alamar blue assay,Confirmatory,21999655.0
31703,626596,123097261,Active,,,1.0,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,21996519.0
31703,628253,123097261,Active,,,0.77,IC50,Cytotoxicity against human MCF7 cells after 3 days by MTT assay,Confirmatory,21800859.0
31703,629702,123097261,Active,,,4.5,IC50,Cytotoxicity against human MCF7 cells assessed as growth inhibition after 48 hrs by SRB assay,Confirmatory,22000946.0
31703,629703,123097261,Active,,,2.9,IC50,Cytotoxicity against human MCF7 cells assessed as growth inhibition after 72 hrs by SRB assay,Confirmatory,22000946.0
31703,634096,123097261,Active,,,2.02,IC50,Anticancer activity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22136907.0
31703,634931,123097261,Active,,,5.46,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,22119131.0
31703,634994,123097261,Active,,,5.46,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,22119132.0
31703,638321,123097261,Unspecified,,,11.67,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,22123320.0
31703,640401,123097261,Active,,,1.7,IC50,Cytotoxicity against human MCF7 cells by WST-1 assay,Confirmatory,22197145.0
31703,640402,123097261,Active,,,1.1,IC50,Cytotoxicity against human tamoxifen-resistant MCF7 cells by WST-1 assay,Confirmatory,22197145.0
31703,641786,123097261,Active,,,2.29,IC50,Cytotoxicity against human MCF7 cells by SRB assay,Confirmatory,22004007.0
31703,644324,123097261,Unspecified,,,17.9,IC50,Cytotoxicity against human MCF7 cells after 3 days by resazurin microplate assay,Confirmatory,22280818.0
31703,644783,123097261,Active,,,3.69,IC50,Cytotoxicity against human MCF7 cells after 2 days,Confirmatory,22318164.0
31703,654513,123097261,Active,,,2.5,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by alamar blue assay,Confirmatory,22272829.0
31703,654562,123097261,Active,,,7.0,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,22283451.0
31703,654657,123097261,Active,,,8.09,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by SRB assay,Confirmatory,22444025.0
31703,654900,123097261,Active,,,6.9,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22304344.0
31703,656195,123097261,Active,,,0.06,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22414612.0
31703,657868,123097261,Active,,,1.54,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by CellTiter-Glo assay,Confirmatory,22316168.0
31703,659840,123097261,Active,,,0.42,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by Alamar blue assay,Confirmatory,22264149.0
31703,660313,123097261,Unspecified,,,20.0,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by XTT assay,Confirmatory,24900344.0
31703,663982,123097261,Active,,,0.54,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22537362.0
31703,664313,123097261,Active,,,9.0,IC50,Cytotoxicity against human MCF7 cells after 3 days by MTT assay,Confirmatory,22520152.0
31703,664538,123097261,Unspecified,,,16.8,IC50,Cytotoxicity against human MCF7 cells by resazurin reduction assay,Confirmatory,22482432.0
31703,665011,123097261,Active,,,0.06,IC50,Antiproliferative activity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,22555152.0
31703,665529,123097261,Unspecified,,,32.0,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,22583778.0
31703,665672,123097261,Active,,,2.82,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,22542958.0
31703,666806,123097261,Unspecified,,,17.67,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22647723.0
31703,667391,123097261,Active,,,0.31,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,22677031.0
31703,667427,123097261,Active,,,0.75,IC50,Cytotoxicity against ER-positive human MCF7 cells after 1 hr by SRB assay,Confirmatory,22770744.0
31703,674245,123097261,Active,,,1.37,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,22687747.0
31703,674694,123097261,Active,,,8.62,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,22818039.0
31703,682338,123097261,Active,,,0.0054,IC50,Cytotoxicity against human MCF7 cells assessed as inhibition of cell viability after 48 hrs by SRB assay,Confirmatory,23085106.0
31703,718399,123097261,Active,,,0.629,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,23123017.0
31703,719342,123097261,Active,,,1.0,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,23079527.0
31703,731885,123097261,Unspecified,,,60.0,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by XTT assay,Confirmatory,24900668.0
31703,739907,123097261,Active,,,1.65,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,23434227.0
31703,742340,123097261,Active,,,0.01165,IC50,SANGER: Inhibition of human MCF7 cell growth in a cell viability assay.,Confirmatory,
31703,744294,123097261,Active,,,0.5,IC50,Antiproliferative activity against human MCF7 cells after 48 hrs by sulforhodamine B assay,Confirmatory,23501113.0
31703,745484,123097261,Active,,,0.24,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by resazurin/resorufin-based fluorescence assay,Confirmatory,23600925.0
31703,751270,123097261,Active,,,0.94,IC50,Cytotoxicity against human MCF7 cells assessed as growth inhibition after 48 hrs by MTT assay,Confirmatory,23806110.0
31703,756953,123097261,Active,,,0.02,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,23802716.0
31703,757701,123097261,Active,,,5.46,IC50,Cytotoxicity against human MCF7 cells assessed as cell survival after 48 hrs by SRB assay,Confirmatory,23708013.0
31703,758820,123097261,Active,,,1.05,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,23764302.0
31703,761445,123097261,Active,,,0.065,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by CCK8 assay,Confirmatory,23777898.0
31703,761647,123097261,Unspecified,,,15.88,IC50,Cytotoxicity against human MCF7 cells by colorimetric method,Confirmatory,23795891.0
31703,761776,123097261,Active,,,7.66,IC50,Cytotoxicity against human MCF7 cells by SRB assay,Confirmatory,23806014.0
31703,766660,123097261,Active,,,1.05,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,23911578.0
31703,767338,123097261,Unspecified,,,13.51,IC50,Cytotoxicity against human MCF7 cells after 2 days by MTT assay,Confirmatory,23932340.0
31703,771668,123097261,Active,,,0.7,IC50,Cytotoxicity against human MCF7 cells assessed as growth inhibition after 72 hrs by MTT assay,Confirmatory,24044895.0
31703,771697,123097261,Active,,,0.04,IC50,Cytotoxicity against human MCF7 cells assessed as growth inhibition after 48 hrs by sulforhodamine B assay,Confirmatory,
31703,771923,123097261,Active,,,0.19,IC50,Cytotoxicity against human MCF7 cells after 44 hrs by SRB assay,Confirmatory,
31703,771966,123097261,Active,,,2.44,IC50,Cytotoxicity against human MCF7 cells after 96 hrs by MTT assay,Confirmatory,
31703,773725,123097261,Active,,,1.2,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,24028446.0
31703,774917,123097261,Active,,,0.0032,IC50,Inhibition of TRK in human MCF7 cells after 48 hrs by ELISA,Confirmatory,24013411.0
31703,776709,123097261,Active,,,1.05,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,24113366.0
31703,779090,123097261,Active,,,0.5,IC50,Antiproliferative activity against human MCF7 cells assessed as cell viability after 72 hrs by MTT assay,Confirmatory,24012378.0
31703,1055977,123097261,Active,,,1.172,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by SRB assay,Confirmatory,24231309.0
31703,1056616,123097261,Active,,,0.35,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by Alamar Blue assay,Confirmatory,24251417.0
31703,1057277,123097261,Active,,,0.75,IC50,Cytotoxicity against ER-positive human MCF7 cells assessed as growth inhibition after 48 hrs by MTT assay,Confirmatory,24148837.0
31703,1060752,123097261,Active,,,1.07,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,24287557.0
31703,1067066,123097261,Unspecified,,,10.9,IC50,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,24487188.0
31703,1067374,123097261,Active,,,0.13,IC50,Cytotoxicity against human MCF7 cells assessed as cell viability after 72 hrs by MTT assay,Confirmatory,24530030.0
31703,1067616,123097261,Active,,,0.2,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,23827179.0
31703,1069288,123097261,Active,,,3.51,IC50,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,Confirmatory,24418772.0
31703,1071922,123097261,Active,,,0.44,IC50,Cytotoxicity against estrogen receptor-positive human MCF7 cells after 24 hrs by MTT assay,Confirmatory,24513041.0
31703,1083474,123097261,Active,,,0.211,IC50,Cytotoxicity against Homo sapiens (human) MCF7 cells after 96 hr by MTT assay,Confirmatory,
31703,1085555,123097261,Unspecified,,,63.0,IC50,Cytotoxicity against Homo sapiens (human) MCF7 cells after 48 hr by neutral red assay,Confirmatory,
31703,1086599,123097261,Active,,,2.97,IC50,Antiproliferative activity against Homo sapiens (human) MCF7 cells after 72 hr by SRB assay,Confirmatory,
31703,1095617,123097261,Unspecified,,,71.8,IC50,Cytotoxicity against Homo sapiens (human) MCF-7 cells after 48 hr by SRB assay relative to control,Confirmatory,
31703,1096766,123097261,Active,,,3.22,IC50,Anticancer activity against Homo sapiens (human) MCF7 cells after 48 hr by SRB assay,Confirmatory,
31703,1106119,123097261,Active,,,1.28,IC50,Anticancer activity against Homo sapiens (human) MCF7 cells assessed as growth inhibition after 48 hr by SRB assay,Confirmatory,
31703,1106474,123097261,Active,,,2.9,IC50,Anticancer activity against Homo sapiens (human) MCF-7 cells assessed as inhibition of cell viability after 72 hr by SRB assay,Confirmatory,
31703,1107004,123097261,Unspecified,,,10.9,IC50,Cytotoxicity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,
31703,1107009,123097261,Unspecified,,,19.0,IC50,Cytotoxicity against human MCF7 cells after 96 hrs by MTT assay,Confirmatory,
31703,1107139,123097261,Active,,,2.67,IC50,Cytotoxicity against Homo sapiens (human) MCF7 cells assessed as reduction of cell survival after 48 hr by MTT assay,Confirmatory,
31703,1114491,123097261,Active,,,0.7,IC50,Cytotoxicity against Homo sapiens (human) MCF7 cells after 48 hr by SRB assay,Confirmatory,
31703,1116268,123097261,Unspecified,,,100.0,IC50,Cytotoxicity against Homo sapiens (human) MCF7 cells assessed as inhibition of cell proliferation after 24 hr by MTT assay,Confirmatory,
31703,1116350,123097261,Active,,,1.0,IC50,Cytotoxicity against Homo sapiens (human) MCF7 cells by tetrazolium-reduction assay,Confirmatory,
31703,1116747,123097261,Active,,,5.46,IC50,Antitumor activity against Homo sapiens (human) MCF7 cells assessed as cell growth inhibition after 48 hr by MTT assay,Confirmatory,
31703,1117003,123097261,Active,,,7.2,IC50,Growth inhibition of Homo sapiens (human) MCF7 cells after 48 hr by MTT assay,Confirmatory,
31703,1121313,123097261,Active,,,0.1,IC50,Cytotoxicity against human MCF7 cells assessed as cell viability after 48 hrs by MTT assay,Confirmatory,
31703,1121330,123097261,Active,,,0.75,IC50,Cytotoxicity against human MCF7 cells expressing estrogen receptor after 48 hrs by MTT assay,Confirmatory,
